y,-0.098214,-0.094643,-0.091071,-0.0875,-0.083929,-0.080357,-0.076786,-0.073214,-0.069643,-0.066071,-0.0625,-0.058929,-0.055357,-0.051786,-0.048214,-0.044643,-0.041071,-0.0375,-0.033929,-0.030357,-0.026786,-0.023214,-0.019643,-0.016071,-0.0125,-0.0089286,-0.0053571,-0.0017857,0.0017857,0.0053571,0.0089286,0.0125,0.016071,0.019643,0.023214,0.026786,0.030357,0.033929,0.0375,0.041071,0.044643,0.048214,0.051786,0.055357,0.058929,0.0625,0.066071,0.069643,0.073214,0.076786,0.080357,0.083929,0.0875,0.091071,0.094643,0.098214
-0.098214,,,,,,,,,,,,,,,,,,,,,,,,92.939,92.907,92.944,93.072,93.302,93.627,94.044,94.522,95.063,95.628,,,,,,,,,,,,,,,,,,,,,,,
-0.094643,,,,,,,,,,,,,,,,,,,,93.804,93.741,93.636,93.546,93.491,93.517,93.627,93.834,94.141,94.548,95.041,95.594,96.189,96.807,97.405,97.978,98.49,98.894,,,,,,,,,,,,,,,,,,,
-0.091071,,,,,,,,,,,,,,,,,93.976,94.166,94.258,94.266,94.225,94.151,94.12,94.127,94.215,94.398,94.689,95.096,95.607,96.213,96.879,97.582,98.281,98.938,99.526,100.02,100.42,100.7,100.85,100.87,,,,,,,,,,,,,,,,
-0.0875,,,,,,,,,,,,,,,,93.914,94.253,94.482,94.609,94.668,94.678,94.657,94.682,94.76,94.93,95.198,95.599,96.126,96.767,97.501,98.305,99.13,99.933,100.69,101.35,101.86,102.2,102.41,102.46,102.38,102.17,,,,,,,,,,,,,,,
-0.083929,,,,,,,,,,,,,,92.868,93.518,94.036,94.435,94.722,94.889,95.002,95.069,95.119,95.212,95.366,95.63,96.018,96.545,97.212,98.003,98.885,99.84,100.79,101.72,102.58,103.3,103.86,104.22,104.37,104.31,104.07,103.69,103.21,102.63,,,,,,,,,,,,,
-0.080357,,,,,,,,,,,,91.06,91.967,92.783,93.487,94.068,94.522,94.861,95.086,95.249,95.38,95.502,95.677,95.936,96.315,96.836,97.508,98.326,99.282,100.33,101.44,102.55,103.62,104.57,105.36,105.96,106.32,106.45,106.32,105.94,105.38,104.7,103.91,103.09,102.27,,,,,,,,,,,
-0.076786,,,,,,,,,,,89.742,90.776,91.73,92.595,93.353,93.982,94.487,94.874,95.162,95.394,95.595,95.799,96.082,96.458,96.966,97.634,98.468,99.456,100.59,101.8,103.07,104.35,105.53,106.58,107.47,108.09,108.44,108.52,108.35,107.87,107.17,106.27,105.26,104.21,103.19,102.2,,,,,,,,,,
-0.073214,,,,,,,,,,88.282,89.358,90.41,91.392,92.3,93.099,93.774,94.327,94.763,95.122,95.425,95.705,96.024,96.422,96.921,97.576,98.404,99.407,100.57,101.87,103.27,104.72,106.14,107.43,108.6,109.55,110.2,110.56,110.59,110.31,109.72,108.89,107.87,106.66,105.39,104.14,102.95,101.88,,,,,,,,,
-0.069643,,,,,,,,,86.719,87.815,88.902,89.972,90.973,91.895,92.723,93.438,94.04,94.533,94.967,95.35,95.735,96.167,96.679,97.329,98.14,99.127,100.3,101.64,103.12,104.7,106.28,107.84,109.29,110.55,111.53,112.22,112.59,112.56,112.19,111.49,110.52,109.34,107.98,106.53,105.06,103.67,102.41,101.32,,,,,,,,
