y,-0.098214,-0.094643,-0.091071,-0.0875,-0.083929,-0.080357,-0.076786,-0.073214,-0.069643,-0.066071,-0.0625,-0.058929,-0.055357,-0.051786,-0.048214,-0.044643,-0.041071,-0.0375,-0.033929,-0.030357,-0.026786,-0.023214,-0.019643,-0.016071,-0.0125,-0.0089286,-0.0053571,-0.0017857,0.0017857,0.0053571,0.0089286,0.0125,0.016071,0.019643,0.023214,0.026786,0.030357,0.033929,0.0375,0.041071,0.044643,0.048214,0.051786,0.055357,0.058929,0.0625,0.066071,0.069643,0.073214,0.076786,0.080357,0.083929,0.0875,0.091071,0.094643,0.098214
-0.098214,,,,,,,,,,,,,,,,,,,,,,,,84.888,85.727,86.628,87.632,88.711,89.888,91.16,92.495,93.902,95.367,,,,,,,,,,,,,,,,,,,,,,,
-0.094643,,,,,,,,,,,,,,,,,,,,83.498,83.96,84.545,85.233,86.0,86.874,87.84,88.905,90.041,91.253,92.538,93.882,95.284,96.747,98.272,99.823,101.44,103.09,,,,,,,,,,,,,,,,,,,
-0.091071,,,,,,,,,,,,,,,,,,83.893,84.221,84.665,85.208,85.863,86.606,87.449,88.384,89.398,90.498,91.675,92.923,94.238,95.611,97.034,98.481,99.989,101.52,103.1,104.7,106.33,108.0,,,,,,,,,,,,,,,,,
-0.0875,,,,,,,,,,,,,,,,84.668,84.899,85.221,85.638,86.17,86.788,87.493,88.292,89.178,90.158,91.221,92.367,93.589,94.876,96.225,97.63,99.072,100.54,102.03,103.55,105.08,106.62,108.18,109.76,111.37,112.99,,,,,,,,,,,,,,,
-0.083929,,,,,,,,,,,,,,85.811,85.921,86.127,86.438,86.852,87.358,87.946,88.618,89.377,90.229,91.171,92.202,93.315,94.512,95.782,97.117,98.504,99.939,101.4,102.88,104.36,105.87,107.36,108.83,110.31,111.8,113.3,114.79,116.32,117.89,,,,,,,,,,,,,
-0.080357,,,,,,,,,,,,87.227,87.22,87.341,87.556,87.863,88.272,88.768,89.335,89.98,90.711,91.524,92.431,93.428,94.516,95.683,96.931,98.255,99.642,101.07,102.54,104.03,105.51,107.0,108.47,109.92,111.34,112.74,114.11,115.48,116.84,118.22,119.63,121.07,122.55,,,,,,,,,,,
-0.076786,,,,,,,,,,,88.81,88.8,88.911,89.142,89.468,89.876,90.365,90.927,91.56,92.272,93.063,93.934,94.892,95.94,97.079,98.306,99.612,100.99,102.43,103.92,105.43,106.94,108.45,109.95,111.37,112.77,114.14,115.44,116.67,117.9,119.13,120.36,121.58,122.83,124.13,125.48,,,,,,,,,,
-0.073214,,,,,,,,,,90.494,90.501,90.626,90.864,91.215,91.644,92.144,92.708,93.336,94.035,94.814,95.669,96.604,97.607,98.703,99.892,101.18,102.54,103.98,105.49,107.03,108.58,110.13,111.68,113.17,114.57,115.91,117.21,118.4,119.51,120.6,121.66,122.69,123.72,124.77,125.88,127.04,128.25,,,,,,,,,
-0.069643,,,,,,,,,92.326,92.307,92.446,92.705,93.078,93.528,94.048,94.637,95.289,96.006,96.764,97.594,98.5,99.484,100.54,101.7,102.94,104.29,105.72,107.22,108.79,110.39,111.99,113.59,115.16,116.64,118.05,119.35,120.54,121.63,122.63,123.54,124.4,125.23,126.05,126.9,127.79,128.73,129.72,130.8,,,,,,,,
-0.066071,,,,,,,,94.251,94.232,94.35,94.624,95.018,95.503,96.066,96.682,97.361,98.108,98.892,99.707,100.59,101.54,102.56,103.67,104.88,106.17,107.57,109.07,110.64,112.28,113.95,115.63,117.28,118.86,120.36,121.77,123.02,124.12,125.12,126.0,126.71,127.35,127.97,128.58,129.16,129.81,130.52,131.29,132.16,133.12,,,,,,,
-0.0625,,,,,,,96.281,96.231,96.347,96.614,97.023,97.533,98.135,98.813,99.542,100.32,101.14,101.99,102.86,103.79,104.78,105.84,106.98,108.23,109.56,111.01,112.57,114.21,115.92,117.67,119.42,121.12,122.76,124.28,125.68,126.89,127.91,128.8,129.52,130.07,130.5,130.9,131.25,131.56,131.95,132.41,132.97,133.61,134.34,135.19,,,,,,
-0.058929,,,,,,98.438,98.33,98.404,98.667,99.077,99.614,100.25,100.98,101.77,102.61,103.48,104.38,105.29,106.23,107.2,108.23,109.32,110.48,111.75,113.12,114.62,116.24,117.95,119.72,121.56,123.37,125.14,126.85,128.4,129.77,130.96,131.92,132.66,133.22,133.62,133.83,133.97,134.06,134.1,134.22,134.4,134.7,135.1,135.61,136.25,137.02,,,,,
